study,symbol,date,strategy,maker_fee_rate,latency_ms,realized_spread,inventory_revaluation,fee_cost,net_pnl
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,-5e-05,10,0.37251250000018654,-0.6266087999999401,-0.9849094405200002,0.7308131405202466
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0002,50,0.5267056999999635,-8.353129599999832,5.445341955720001,-13.27176585571987
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0001,50,0.5267056999999635,-8.353129599999832,2.7226709778600005,-10.549094877859869
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0,50,0.5267056999999635,-8.353129599999832,0.0,-7.8264238999998685
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,-5e-05,50,0.5267056999999635,-8.353129599999832,-1.3613354889300002,-6.4650884110698685
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0002,200,0.04291959999959294,-8.122626799999773,5.706187644760001,-13.785894844760183
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0001,200,0.04291959999959294,-8.122626799999773,2.8530938223800004,-10.93280102238018
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0,200,0.04291959999959294,-8.122626799999773,0.0,-8.07970720000018
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,-5e-05,200,0.04291959999959294,-8.122626799999773,-1.4265469111900002,-6.653160288810181
crypto,BTCUSDT,2025-07-02,glft_gamma_0.0001,0.0002,10,205.28168014998852,-1074.9077065500003,1513.5213890872003,-2383.147415487212
crypto,BTCUSDT,2025-07-02,glft_gamma_0.0001,0.0001,10,205.28168014998852,-1074.9077065500003,756.7606945436002,-1626.386720943612
crypto,BTCUSDT,2025-07-02,glft_gamma_0.0001,0.0,10,205.28168014998852,-1074.9077065500003,0.0,-869.6260264000118
crypto,BTCUSDT,2025-07-02,glft_gamma_0.0001,-5e-05,10,205.28168014998852,-1074.9077065500003,-378.3803472718001,-491.24567912821175
crypto,BTCUSDT,2025-07-02,glft_gamma_0.0001,0.0002,50,179.7603095499917,-1039.5883471000025,1480.7204084536802,-2340.548446003691
crypto,BTCUSDT,2025-07-02,glft_gamma_0.0001,0.0001,50,179.7603095499917,-1039.5883471000025,740.3602042268401,-1600.1882417768509
crypto,BTCUSDT,2025-07-02,glft_gamma_0.0001,0.0,50,179.7603095499917,-1039.5883471000025,0.0,-859.8280375500108
crypto,BTCUSDT,2025-07-02,glft_gamma_0.0001,-5e-05,50,179.7603095499917,-1039.5883471000025,-370.18010211342005,-489.6479354365907
crypto,BTCUSDT,2025-07-02,glft_gamma_0.0001,0.0002,200,144.43968369999345,-963.6957648500044,1432.4969344550802,-2251.753015605091
crypto,BTCUSDT,2025-07-02,glft_gamma_0.0001,0.0001,200,144.43968369999345,-963.6957648500044,716.2484672275401,-1535.5045483775511
crypto,BTCUSDT,2025-07-02,glft_gamma_0.0001,0.0,200,144.43968369999345,-963.6957648500044,0.0,-819.2560811500109
crypto,BTCUSDT,2025-07-02,glft_gamma_0.0001,-5e-05,200,144.43968369999345,-963.6957648500044,-358.12423361377006,-461.13184753624085
crypto,BTCUSDT,2025-07-02,glft_imbalance_gamma_0.001_beta_2,0.0002,10,207.67923140002077,-1062.6406571000014,1501.7266650364602,-2356.6880907364407
crypto,BTCUSDT,2025-07-02,glft_imbalance_gamma_0.001_beta_2,0.0001,10,207.67923140002077,-1062.6406571000014,750.8633325182301,-1605.8247582182107
crypto,BTCUSDT,2025-07-02,glft_imbalance_gamma_0.001_beta_2,0.0,10,207.67923140002077,-1062.6406571000014,0.0,-854.9614256999806
crypto,BTCUSDT,2025-07-02,glft_imbalance_gamma_0.001_beta_2,-5e-05,10,207.67923140002077,-1062.6406571000014,-375.43166625911505,-479.5297594408656
crypto,BTCUSDT,2025-07-02,glft_imbalance_gamma_0.001_beta_2,0.0002,50,183.70701965001788,-1034.7120865500033,1486.7933729624,-2337.7984398623857
crypto,BTCUSDT,2025-07-02,glft_imbalance_gamma_0.001_beta_2,0.0001,50,183.70701965001788,-1034.7120865500033,743.3966864812,-1594.4017533811855
crypto,BTCUSDT,2025-07-02,glft_imbalance_gamma_0.001_beta_2,0.0,50,183.70701965001788,-1034.7120865500033,0.0,-851.0050668999854
crypto,BTCUSDT,2025-07-02,glft_imbalance_gamma_0.001_beta_2,-5e-05,50,183.70701965001788,-1034.7120865500033,-371.6983432406,-479.3067236593854
crypto,BTCUSDT,2025-07-02,glft_imbalance_gamma_0.001_beta_2,0.0002,200,136.22124290001446,-975.162470950004,1460.9665409161603,-2299.90776896615
crypto,BTCUSDT,2025-07-02,glft_imbalance_gamma_0.001_beta_2,0.0001,200,136.22124290001446,-975.162470950004,730.4832704580801,-1569.4244985080697
crypto,BTCUSDT,2025-07-02,glft_imbalance_gamma_0.001_beta_2,0.0,200,136.22124290001446,-975.162470950004,0.0,-838.9412280499896
crypto,BTCUSDT,2025-07-02,glft_imbalance_gamma_0.001_beta_2,-5e-05,200,136.22124290001446,-975.162470950004,-365.24163522904007,-473.69959282094953
crypto,BTCUSDT,2025-07-03,symmetric,0.0002,10,-124.76247994999301,-1442.5678728000235,2290.62092373334,-3857.9512764833567
crypto,BTCUSDT,2025-07-03,symmetric,0.0001,10,-124.76247994999301,-1442.5678728000235,1145.31046186667,-2712.640814616687
crypto,BTCUSDT,2025-07-03,symmetric,0.0,10,-124.76247994999301,-1442.5678728000235,0.0,-1567.3303527500166
crypto,BTCUSDT,2025-07-03,symmetric,-5e-05,10,-124.76247994999301,-1442.5678728000235,-572.655230933335,-994.6751218166816
crypto,BTCUSDT,2025-07-03,symmetric,0.0002,50,-142.48973459999414,-1398.3098265500219,2270.51005424556,-3811.3096153955757
crypto,BTCUSDT,2025-07-03,symmetric,0.0001,50,-142.48973459999414,-1398.3098265500219,1135.25502712278,-2676.0545882727956
crypto,BTCUSDT,2025-07-03,symmetric,0.0,50,-142.48973459999414,-1398.3098265500219,0.0,-1540.799561150016
crypto,BTCUSDT,2025-07-03,symmetric,-5e-05,50,-142.48973459999414,-1398.3098265500219,-567.62751356139,-973.172047588626
crypto,BTCUSDT,2025-07-03,symmetric,0.0002,200,-127.27714884999935,-1288.9483767500205,2130.94113713106,-3547.1666627310797
crypto,BTCUSDT,2025-07-03,symmetric,0.0001,200,-127.27714884999935,-1288.9483767500205,1065.47056856553,-2481.6960941655498
crypto,BTCUSDT,2025-07-03,symmetric,0.0,200,-127.27714884999935,-1288.9483767500205,0.0,-1416.2255256000199
crypto,BTCUSDT,2025-07-03,symmetric,-5e-05,200,-127.27714884999935,-1288.9483767500205,-532.735284282765,-883.4902413172549
crypto,BTCUSDT,2025-07-03,as_gamma_0.001,0.0002,10,0.28265855000023193,-0.6422700000000664,1.42993729516,-1.7895487451598344
crypto,BTCUSDT,2025-07-03,as_gamma_0.001,0.0001,10,0.28265855000023193,-0.6422700000000664,0.71496864758,-1.0745800975798345
crypto,BTCUSDT,2025-07-03,as_gamma_0.001,0.0,10,0.28265855000023193,-0.6422700000000664,0.0,-0.35961144999983446
crypto,BTCUSDT,2025-07-03,as_gamma_0.001,-5e-05,10,0.28265855000023193,-0.6422700000000664,-0.35748432379,-0.0021271262098344623
crypto,BTCUSDT,2025-07-03,as_gamma_0.001,0.0002,50,0.1398602500000936,-0.36403620000009673,0.9580432700000001,-1.1822192200000032
crypto,BTCUSDT,2025-07-03,as_gamma_0.001,0.0001,50,0.1398602500000936,-0.36403620000009673,0.47902163500000006,-0.7031975850000032
crypto,BTCUSDT,2025-07-03,as_gamma_0.001,0.0,50,0.1398602500000936,-0.36403620000009673,0.0,-0.22417595000000312
crypto,BTCUSDT,2025-07-03,as_gamma_0.001,-5e-05,50,0.1398602500000936,-0.36403620000009673,-0.23951081750000003,0.015334867499996907
crypto,BTCUSDT,2025-07-03,as_gamma_0.001,0.0002,200,0.2832739000003424,-0.5571839000000826,1.5618039879000003,-1.8357139878997404
crypto,BTCUSDT,2025-07-03,as_gamma_0.001,0.0001,200,0.2832739000003424,-0.5571839000000826,0.7809019939500002,-1.0548119939497402
crypto,BTCUSDT,2025-07-03,as_gamma_0.001,0.0,200,0.2832739000003424,-0.5571839000000826,0.0,-0.27390999999974014
crypto,BTCUSDT,2025-07-03,as_gamma_0.001,-5e-05,200,0.2832739000003424,-0.5571839000000826,-0.3904509969750001,0.11654099697525994
crypto,BTCUSDT,2025-07-03,glft_gamma_0.0001,0.0002,10,213.28708670001424,-1211.8681835000089,1603.82015226694,-2602.4012490669347
crypto,BTCUSDT,2025-07-03,glft_gamma_0.0001,0.0001,10,213.28708670001424,-1211.8681835000089,801.91007613347,-1800.4911729334647
crypto,BTCUSDT,2025-07-03,glft_gamma_0.0001,0.0,10,213.28708670001424,-1211.8681835000089,0.0,-998.5810967999946
crypto,BTCUSDT,2025-07-03,glft_gamma_0.0001,-5e-05,10,213.28708670001424,-1211.8681835000089,-400.955038066735,-597.6260587332596
crypto,BTCUSDT,2025-07-03,glft_gamma_0.0001,0.0002,50,182.00004230001255,-1172.8721414500092,1582.3080591668602,-2573.1801583168567
crypto,BTCUSDT,2025-07-03,glft_gamma_0.0001,0.0001,50,182.00004230001255,-1172.8721414500092,791.1540295834301,-1782.0261287334267
crypto,BTCUSDT,2025-07-03,glft_gamma_0.0001,0.0,50,182.00004230001255,-1172.8721414500092,0.0,-990.8720991499966
crypto,BTCUSDT,2025-07-03,glft_gamma_0.0001,-5e-05,50,182.00004230001255,-1172.8721414500092,-395.57701479171504,-595.2950843582817
crypto,BTCUSDT,2025-07-03,glft_gamma_0.0001,0.0002,200,138.09988305000599,-1070.38602285001,1509.7571381756602,-2442.0432779756643
crypto,BTCUSDT,2025-07-03,glft_gamma_0.0001,0.0001,200,138.09988305000599,-1070.38602285001,754.8785690878301,-1687.1647088878342
crypto,BTCUSDT,2025-07-03,glft_gamma_0.0001,0.0,200,138.09988305000599,-1070.38602285001,0.0,-932.2861398000041
crypto,BTCUSDT,2025-07-03,glft_gamma_0.0001,-5e-05,200,138.09988305000599,-1070.38602285001,-377.43928454391505,-554.846855256089
crypto,BTCUSDT,2025-07-03,glft_imbalance_gamma_0.001_beta_2,0.0002,10,205.6975593500155,-1176.96105580001,1537.45374426908,-2508.7172407190747
