study,symbol,date,strategy,maker_fee_rate,latency_ms,horizon_seconds,sample_count,mean_markout
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0,200,5,125,-0.031561047200000296
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0,200,30,125,-0.021164058400001125
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0,200,60,125,-0.02706102880000004
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,-5e-05,200,1,125,-0.027688915999998606
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,-5e-05,200,5,125,-0.031561047200000296
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,-5e-05,200,30,125,-0.021164058400001125
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,-5e-05,200,60,125,-0.02706102880000004
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0002,10,1,30548,-0.026395365911024947
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0002,10,5,30548,-0.031358884120073274
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0002,10,30,30548,-0.032259734437606685
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0002,10,60,30548,-0.032912614077845126
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0001,10,1,30548,-0.026395365911024947
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0001,10,5,30548,-0.031358884120073274
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0001,10,30,30548,-0.032259734437606685
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0001,10,60,30548,-0.032912614077845126
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0,10,1,30548,-0.026395365911024947
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0,10,5,30548,-0.031358884120073274
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0,10,30,30548,-0.032259734437606685
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0,10,60,30548,-0.032912614077845126
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,-5e-05,10,1,30548,-0.026395365911024947
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,-5e-05,10,5,30548,-0.031358884120073274
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,-5e-05,10,30,30548,-0.032259734437606685
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,-5e-05,10,60,30548,-0.032912614077845126
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0002,50,1,29596,-0.026043714289092728
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0002,50,5,29596,-0.030948964915866913
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0002,50,30,29596,-0.03167628441343451
